id,fecha,cliente,ciudad,producto,precio,cantidad
1,2024-01-01,Juan,Bogota,Mouse,50,2
2,2024-01-02,Ana,Medellin,Teclado,80,1
3,2024-01-03,Juan,Bogota,Monitor,300,1
4,2024-01-04,Luisa,Cali,Mouse,50,3
9,2024-01-05,Carlos,Bogota,Monitor,300,1
10,2024-01-06,Sofia,Cali,Teclado,80,2
11,2024-01-07,Pedro,Medellin,Mouse,50,1
12,2024-01-08,Juan,Bogota,Teclado,80,1
13,2024-01-09,Ana,Medellin,Mouse,50,2
14,2024-01-10,Luisa,Cali,Monitor,300,1
15,2024-01-11,Carlos,Bogota,Mouse,50,4
16,2024-01-12,Sofia,Cali,Monitor,300,1
